,acc_phone_x,acc_phone_y,acc_phone_z,labelwalking,labelstanding,labelbiking,labelsitting,labelrunning,labelontable,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,pedom_phone_steps,pedom_phone_distance
2018-06-07 16:13:40.272,-0.54229736328133338,-3.8403218587236667,-9.1328531901016667,0,0,0,0,0,0,5.54073104858,-32.1574733734,-30.3408833822,101.4665,146.0,110.4371
2018-06-07 16:13:40.522,-0.87023315429671977,-3.7468811035160003,-9.3238342285147997,0,0,0,0,0,0,4.96825759888,-30.866383667,-31.8675415039,101.4665,146.0,110.4371
2018-06-07 16:13:40.772,-0.80111694335908001,-3.6173461914059999,-9.2999267578139992,0,0,0,0,0,0,4.89898773193,-30.708024292,-31.9246606445,101.4665,146.0,110.4371
2018-06-07 16:13:41.022,-0.53398132324278746,-3.7504069010416665,-9.0024820963529155,0,0,0,0,0,0,5.33768606186,-31.651617686,-30.6677042643,101.4665,146.0,110.4371
2018-06-07 16:13:41.272,-1.1846278263969769,-2.3554347111625384,-9.7799506554280775,0,0,0,0,0,0,3.45287469717,-27.2667573782,-35.2098224346,101.4665,146.0,110.4371
2018-06-07 16:13:41.522,-1.1554870605473557,-3.5648986816412802,-9.3093322753828005,0,0,0,0,0,0,3.52530670166,-26.5351715088,-35.8055419922,101.4665,146.0,110.4371
2018-06-07 16:13:41.772,-0.43132488544181158,-2.8881483811596151,-9.4169616699215375,0,0,0,0,0,0,3.52530670166,-26.5351715088,-35.8055419922,101.4665,146.0,110.4371
2018-06-07 16:13:42.022,-0.28137207031250483,-2.6039794921868005,-9.7196166992211985,0,0,0,0,0,0,5.0493196106,-27.4468722534,-34.7903686524,101.4665,146.0,110.4371
2018-06-07 16:13:42.272,-0.1304138183593368,-3.1743896484388006,-9.4309814453123995,0,0,0,0,0,0,7.93748413086,-28.8499107361,-33.0951147461,101.4665,146.0,110.4371
2018-06-07 16:13:42.522,0.27521972656249,-3.1768127441412002,-9.5051513671876009,0,0,0,0,0,0,8.79708900452,-29.062883606,-32.5662915039,101.466676,146.0,110.4371
2018-06-07 16:13:42.772,-0.0060668945311839976,-3.0566650390636001,-9.4859863281248007,0,0,0,0,0,0,7.74351745605,-28.588677063,-33.2353588867,101.4667,146.0,110.4371
2018-06-07 16:13:43.022,-0.133612060546936,-2.7692382812504004,-9.5566589355471994,0,0,0,0,0,0,6.71797546387,-28.2721614075,-34.0195849609,101.4667,146.0,110.4371
2018-06-07 16:13:43.272,-0.56300048828120797,-2.9895202636711997,-9.6640625000008011,0,0,0,0,0,0,6.40562934876,-27.9136299133,-34.1154858398,101.4667,146.0,110.4371
2018-06-07 16:13:43.522,-0.59892578124987994,-3.3356323242184001,-9.0449890136723994,0,0,0,0,0,0,7.80880912781,-28.555615387,-33.4767431641,101.4667,146.0,110.4371
2018-06-07 16:13:43.772,-0.229260253906372,-3.0470214843751999,-9.5449829101544008,0,0,0,0,0,0,8.05637329101,-27.2520217896,-34.439453125,101.4667,146.0,110.4371
2018-06-07 16:13:44.022,1.5900597205534615,-2.6971846360430769,-9.5101870023353836,0,0,0,0,0,0,8.72898057791,-26.2482170692,-34.9935396635,101.4667,146.0,110.4371
2018-06-07 16:13:44.272,1.6855346679682401,-3.2973144531252001,-9.4542114257791994,0,0,0,0,0,0,8.3435194397,-26.7251119995,-34.6945751953,101.466784,146.0,110.4371
2018-06-07 16:13:44.522,-0.85076293945343995,-2.8628662109376002,-10.389221191408801,0,0,0,0,0,0,2.43478118896,-26.7261346436,-35.8847167969,101.467,146.0,110.4371
2018-06-07 16:13:44.772,-1.6889953613291999,-1.7382751464840001,-9.9330322265603996,0,0,0,0,0,0,1.22558303833,-27.4893885803,-35.1028979492,101.467,146.0,110.4371
2018-06-07 16:13:45.022,-0.32797851562494995,-2.9252868652344,-8.2808105468768005,0,0,0,0,0,0,5.16804840088,-28.5011482239,-33.5716674805,101.467,146.0,110.4371
2018-06-07 16:13:45.272,1.83378906249972,-4.1193603515624,-10.572479248046001,0,0,0,0,0,0,10.1214794922,-30.4089186096,-29.5299023437,101.467132,146.0,110.4371
