,acc_phone_x,acc_phone_y,acc_phone_z,labelwalking,labelstanding,labelbiking,labelsitting,labelrunning,labelontable,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,pedom_phone_steps,pedom_phone_distance
2018-06-07 16:13:40.272,-0.542297363281,-3.84032185872,-9.1328531901,0,0,0,0,0,0,5.54073104858,-32.1574733734,-30.3408833822,101.4665,146.0,110.4371
2018-06-07 16:13:40.522,-0.870233154297,-3.74688110352,-9.32383422851,0,0,0,0,0,0,4.96825759888,-30.866383667,-31.8675415039,101.4665,146.0,110.4371
2018-06-07 16:13:40.772,-0.801116943359,-3.61734619141,-9.29992675781,0,0,0,0,0,0,4.89898773193,-30.708024292,-31.9246606445,101.4665,146.0,110.4371
2018-06-07 16:13:41.022,-0.533981323243,-3.75040690104,-9.00248209635,0,0,0,0,0,0,5.33768606186,-31.651617686,-30.6677042643,101.4665,146.0,110.4371
2018-06-07 16:13:41.272,-1.1846278264,-2.35543471116,-9.77995065543,0,0,0,0,0,0,3.45287469717,-27.2667573782,-35.2098224346,101.4665,146.0,110.4371
2018-06-07 16:13:41.522,-1.15548706055,-3.56489868164,-9.30933227538,0,0,0,0,0,0,3.52530670166,-26.5351715088,-35.8055419922,101.4665,146.0,110.4371
2018-06-07 16:13:41.772,-0.431324885442,-2.88814838116,-9.41696166992,0,0,0,0,0,0,3.52530670166,-26.5351715088,-35.8055419922,101.4665,146.0,110.4371
2018-06-07 16:13:42.022,-0.281372070313,-2.60397949219,-9.71961669922,0,0,0,0,0,0,5.0493196106,-27.4468722534,-34.7903686524,101.4665,146.0,110.4371
2018-06-07 16:13:42.272,-0.130413818359,-3.17438964844,-9.43098144531,0,0,0,0,0,0,7.93748413086,-28.8499107361,-33.0951147461,101.4665,146.0,110.4371
2018-06-07 16:13:42.522,0.275219726562,-3.17681274414,-9.50515136719,0,0,0,0,0,0,8.79708900452,-29.062883606,-32.5662915039,101.466676,146.0,110.4371
2018-06-07 16:13:42.772,-0.00606689453118,-3.05666503906,-9.48598632812,0,0,0,0,0,0,7.74351745605,-28.588677063,-33.2353588867,101.4667,146.0,110.4371
2018-06-07 16:13:43.022,-0.133612060547,-2.76923828125,-9.55665893555,0,0,0,0,0,0,6.71797546387,-28.2721614075,-34.0195849609,101.4667,146.0,110.4371
2018-06-07 16:13:43.272,-0.563000488281,-2.98952026367,-9.6640625,0,0,0,0,0,0,6.40562934876,-27.9136299133,-34.1154858398,101.4667,146.0,110.4371
2018-06-07 16:13:43.522,-0.59892578125,-3.33563232422,-9.04498901367,0,0,0,0,0,0,7.80880912781,-28.555615387,-33.4767431641,101.4667,146.0,110.4371
2018-06-07 16:13:43.772,-0.229260253906,-3.04702148438,-9.54498291015,0,0,0,0,0,0,8.05637329101,-27.2520217896,-34.439453125,101.4667,146.0,110.4371
2018-06-07 16:13:44.022,1.59005972055,-2.69718463604,-9.51018700234,0,0,0,0,0,0,8.72898057791,-26.2482170692,-34.9935396635,101.4667,146.0,110.4371
2018-06-07 16:13:44.272,1.68553466797,-3.29731445313,-9.45421142578,0,0,0,0,0,0,8.3435194397,-26.7251119995,-34.6945751953,101.466784,146.0,110.4371
2018-06-07 16:13:44.522,-0.850762939453,-2.86286621094,-10.3892211914,0,0,0,0,0,0,2.43478118896,-26.7261346436,-35.8847167969,101.467,146.0,110.4371
2018-06-07 16:13:44.772,-1.68899536133,-1.73827514648,-9.93303222656,0,0,0,0,0,0,1.22558303833,-27.4893885803,-35.1028979492,101.467,146.0,110.4371
