,device_type,distance,sensor_type,steps,timestamps
0,smartphone,152.94,pedometer,218,1.5281284759987118e+18
1,smartphone,153.42,pedometer,219,1.5281284759987118e+18
2,smartphone,153.42,pedometer,219,1.528128477998713e+18
3,smartphone,153.42,pedometer,219,1.528128477998713e+18
4,smartphone,153.42,pedometer,219,1.528128479998707e+18
5,smartphone,153.42,pedometer,219,1.528128479998707e+18
6,smartphone,155.54,pedometer,223,1.5281284819987039e+18
7,smartphone,155.54,pedometer,223,1.5281284819987039e+18
8,smartphone,155.54,pedometer,223,1.528128483998702e+18
9,smartphone,155.54,pedometer,223,1.528128483998702e+18
10,smartphone,155.54,pedometer,223,1.528128483998702e+18
11,smartphone,155.54,pedometer,223,1.528128485998699e+18
12,smartphone,155.54,pedometer,223,1.528128485998699e+18
13,smartphone,155.54,pedometer,223,1.528128487998698e+18
14,smartphone,157.78,pedometer,227,1.528128487998698e+18
15,smartphone,157.78,pedometer,227,1.528128489998695e+18
16,smartphone,157.78,pedometer,227,1.528128489998695e+18
17,smartphone,157.78,pedometer,227,1.528128491998692e+18
18,smartphone,157.78,pedometer,227,1.528128491998692e+18
19,smartphone,160.02,pedometer,231,1.52812849399869e+18
20,smartphone,160.02,pedometer,231,1.52812849399869e+18
21,smartphone,160.02,pedometer,231,1.528128495998688e+18
22,smartphone,171.38,pedometer,235,1.528128495998688e+18
23,smartphone,171.38,pedometer,235,1.528128497998685e+18
24,smartphone,176.06,pedometer,241,1.528128497998685e+18
25,smartphone,176.06,pedometer,241,1.528128499998683e+18
26,smartphone,176.06,pedometer,241,1.528128499998683e+18
27,smartphone,179.14,pedometer,245,1.528128501998681e+18
28,smartphone,179.14,pedometer,245,1.528128501998681e+18
29,smartphone,182.22,pedometer,249,1.528128503998678e+18
30,smartphone,182.22,pedometer,249,1.528128503998678e+18
31,smartphone,182.22,pedometer,249,1.5281285059986752e+18
32,smartphone,186.9,pedometer,255,1.5281285059986752e+18
33,smartphone,186.9,pedometer,255,1.528128507998673e+18
34,smartphone,190.06,pedometer,259,1.528128507998673e+18
35,smartphone,190.06,pedometer,259,1.5281285099986721e+18
36,smartphone,190.06,pedometer,259,1.5281285099986721e+18
37,smartphone,193.26,pedometer,263,1.528128511998668e+18
38,smartphone,193.26,pedometer,263,1.528128511998668e+18
39,smartphone,198.06,pedometer,269,1.528128513998666e+18
40,smartphone,198.06,pedometer,269,1.528128513998666e+18
41,smartphone,198.06,pedometer,269,1.5281285159986642e+18
42,smartphone,202.8,pedometer,275,1.5281285159986642e+18
