,device_type,pressure,sensor_type,timestamps
0,smartphone,101.4925,pressure,1.5281284759987118e+18
1,smartphone,101.4916,pressure,1.5281284759987118e+18
2,smartphone,101.4916,pressure,1.528128477998713e+18
3,smartphone,101.494,pressure,1.528128477998713e+18
4,smartphone,101.4952,pressure,1.528128479998707e+18
5,smartphone,101.4952,pressure,1.528128479998707e+18
6,smartphone,101.4952,pressure,1.5281284819987039e+18
7,smartphone,101.4921,pressure,1.5281284819987039e+18
8,smartphone,101.4904,pressure,1.528128483998702e+18
9,smartphone,101.4843,pressure,1.528128483998702e+18
10,smartphone,101.4805,pressure,1.528128483998702e+18
11,smartphone,101.4868,pressure,1.528128485998699e+18
12,smartphone,101.4877,pressure,1.528128485998699e+18
13,smartphone,101.4877,pressure,1.528128487998698e+18
14,smartphone,101.4877,pressure,1.528128487998698e+18
15,smartphone,101.4876,pressure,1.528128489998695e+18
16,smartphone,101.4876,pressure,1.528128489998695e+18
17,smartphone,101.4876,pressure,1.528128491998692e+18
18,smartphone,101.4835,pressure,1.528128491998692e+18
19,smartphone,101.48200000000001,pressure,1.52812849399869e+18
20,smartphone,101.4782,pressure,1.52812849399869e+18
21,smartphone,101.4709,pressure,1.528128495998688e+18
22,smartphone,101.4709,pressure,1.528128495998688e+18
23,smartphone,101.4754,pressure,1.528128497998685e+18
24,smartphone,101.4754,pressure,1.528128497998685e+18
25,smartphone,101.4742,pressure,1.528128499998683e+18
26,smartphone,101.4742,pressure,1.528128499998683e+18
27,smartphone,101.4765,pressure,1.528128501998681e+18
28,smartphone,101.4773,pressure,1.528128501998681e+18
29,smartphone,101.4836,pressure,1.528128503998678e+18
30,smartphone,101.4875,pressure,1.528128503998678e+18
31,smartphone,101.4873,pressure,1.5281285059986752e+18
32,smartphone,101.4871,pressure,1.5281285059986752e+18
33,smartphone,101.4857,pressure,1.528128507998673e+18
34,smartphone,101.4857,pressure,1.528128507998673e+18
35,smartphone,101.4871,pressure,1.5281285099986721e+18
36,smartphone,101.4871,pressure,1.5281285099986721e+18
37,smartphone,101.4863,pressure,1.528128511998668e+18
38,smartphone,101.4859,pressure,1.528128511998668e+18
39,smartphone,101.485,pressure,1.528128513998666e+18
40,smartphone,101.4838,pressure,1.528128513998666e+18
41,smartphone,101.4837,pressure,1.5281285159986642e+18
42,smartphone,101.48299999999999,pressure,1.5281285159986642e+18
43,smartphone,101.4816,pressure,1.528128517998661e+18
44,smartphone,101.48,pressure,1.528128517998661e+18
45,smartphone,101.479,pressure,1.5281285199986588e+18
46,smartphone,101.479,pressure,1.5281285199986588e+18
47,smartphone,101.48,pressure,1.528128521998657e+18
48,smartphone,101.4822,pressure,1.528128521998657e+18
49,smartphone,101.4843,pressure,1.528128523998654e+18
50,smartphone,101.4849,pressure,1.528128523998654e+18
51,smartphone,101.4848,pressure,1.5281285259986511e+18
52,smartphone,101.484,pressure,1.5281285259986511e+18
53,smartphone,101.4836,pressure,1.528128527998649e+18
54,smartphone,101.4829,pressure,1.528128527998649e+18
55,smartphone,101.48200000000001,pressure,1.528128529998647e+18
56,smartphone,101.4815,pressure,1.528128529998647e+18
57,smartphone,101.4806,pressure,1.528128531998644e+18
58,smartphone,101.4805,pressure,1.528128531998644e+18
59,smartphone,101.4806,pressure,1.528128533998641e+18
60,smartphone,101.4812,pressure,1.528128533998641e+18
61,smartphone,101.4819,pressure,1.52812853599864e+18
62,smartphone,101.4819,pressure,1.52812853599864e+18
63,smartphone,101.4814,pressure,1.528128537998637e+18
64,smartphone,101.4813,pressure,1.528128537998637e+18
65,smartphone,101.4804,pressure,1.528128539998634e+18
66,smartphone,101.4804,pressure,1.528128540998634e+18
67,smartphone,101.4807,pressure,1.528128540998634e+18
68,smartphone,101.4809,pressure,1.528128542998631e+18
69,smartphone,101.4799,pressure,1.528128542998631e+18
70,smartphone,101.4775,pressure,1.5281285449986278e+18
71,smartphone,101.4775,pressure,1.5281285449986278e+18
72,smartphone,101.4787,pressure,1.528128546998626e+18
73,smartphone,101.4804,pressure,1.528128546998626e+18
74,smartphone,101.4825,pressure,1.528128548998624e+18
75,smartphone,101.486,pressure,1.528128548998624e+18
76,smartphone,101.486,pressure,1.5281285509986222e+18
77,smartphone,101.4854,pressure,1.5281285509986222e+18
78,smartphone,101.4836,pressure,1.528128552998619e+18
79,smartphone,101.4836,pressure,1.528128552998619e+18
80,smartphone,101.4847,pressure,1.5281285549986168e+18
81,smartphone,101.4863,pressure,1.5281285549986168e+18
82,smartphone,101.4872,pressure,1.528128556998615e+18
83,smartphone,101.4881,pressure,1.528128556998615e+18
84,smartphone,101.4884,pressure,1.528128558998612e+18
85,smartphone,101.4885,pressure,1.528128558998612e+18
86,smartphone,101.4903,pressure,1.52812856099861e+18
87,smartphone,101.4907,pressure,1.52812856099861e+18
88,smartphone,101.4907,pressure,1.5281285629986068e+18
89,smartphone,101.4901,pressure,1.5281285629986068e+18
90,smartphone,101.4897,pressure,1.528128564998605e+18
91,smartphone,101.4891,pressure,1.528128564998605e+18
92,smartphone,101.4876,pressure,1.5281285669986028e+18
93,smartphone,101.4864,pressure,1.5281285669986028e+18
94,smartphone,101.4864,pressure,1.5281285689986e+18
95,smartphone,101.4878,pressure,1.5281285689986e+18
96,smartphone,101.4878,pressure,1.5281285709985981e+18
97,smartphone,101.48700000000001,pressure,1.5281285709985981e+18
98,smartphone,101.48700000000001,pressure,1.528128572998596e+18
99,smartphone,101.4869,pressure,1.528128572998596e+18
100,smartphone,101.4869,pressure,1.5281285749985928e+18
101,smartphone,101.4874,pressure,1.5281285749985928e+18
102,smartphone,101.4874,pressure,1.528128576998591e+18
103,smartphone,101.4873,pressure,1.528128576998591e+18
104,smartphone,101.4869,pressure,1.5281285789985882e+18
105,smartphone,101.4862,pressure,1.5281285789985882e+18
106,smartphone,101.4856,pressure,1.5281285809985859e+18
107,smartphone,101.4856,pressure,1.5281285809985859e+18
108,smartphone,101.4857,pressure,1.528128582998583e+18
109,smartphone,101.4848,pressure,1.528128582998583e+18
110,smartphone,101.4838,pressure,1.52812858499858e+18
111,smartphone,101.4818,pressure,1.52812858499858e+18
112,smartphone,101.479,pressure,1.528128586998579e+18
113,smartphone,101.479,pressure,1.528128586998579e+18
114,smartphone,101.4775,pressure,1.5281285889985759e+18
115,smartphone,101.475,pressure,1.5281285889985759e+18
116,smartphone,101.475,pressure,1.528128590998574e+18
117,smartphone,101.475,pressure,1.528128590998574e+18
118,smartphone,101.4761,pressure,1.5281285929985713e+18
119,smartphone,101.4772,pressure,1.5281285929985713e+18
120,smartphone,101.4772,pressure,1.528128594998569e+18
121,smartphone,101.4772,pressure,1.528128594998569e+18
122,smartphone,101.4775,pressure,1.528128596998566e+18
123,smartphone,101.4783,pressure,1.528128596998566e+18
124,smartphone,101.4785,pressure,1.528128598998564e+18
125,smartphone,101.4787,pressure,1.528128598998564e+18
126,smartphone,101.4787,pressure,1.5281286009985618e+18
127,smartphone,101.478,pressure,1.5281286009985618e+18
128,smartphone,101.478,pressure,1.528128602998559e+18
129,smartphone,101.4777,pressure,1.528128602998559e+18
130,smartphone,101.4761,pressure,1.5281286049985562e+18
131,smartphone,101.4756,pressure,1.5281286049985562e+18
132,smartphone,101.4741,pressure,1.5281286069985551e+18
133,smartphone,101.473,pressure,1.5281286069985551e+18
134,smartphone,101.4726,pressure,1.5281286089985518e+18
135,smartphone,101.4721,pressure,1.5281286089985518e+18
136,smartphone,101.4713,pressure,1.52812861099855e+18
137,smartphone,101.4713,pressure,1.52812861099855e+18
138,smartphone,101.4713,pressure,1.528128612998548e+18
139,smartphone,101.4713,pressure,1.528128612998548e+18
140,smartphone,101.4713,pressure,1.528128614998544e+18
141,smartphone,101.4712,pressure,1.528128614998544e+18
142,smartphone,101.4709,pressure,1.528128616998543e+18
143,smartphone,101.47,pressure,1.528128616998543e+18
144,smartphone,101.4682,pressure,1.52812861899854e+18
145,smartphone,101.4655,pressure,1.52812861899854e+18
146,smartphone,101.4644,pressure,1.528128620998538e+18
147,smartphone,101.4644,pressure,1.528128620998538e+18
148,smartphone,101.4675,pressure,1.528128622998535e+18
149,smartphone,101.4683,pressure,1.528128622998535e+18
150,smartphone,101.4691,pressure,1.528128624998532e+18
151,smartphone,101.4691,pressure,1.528128625998532e+18
152,smartphone,101.4691,pressure,1.528128625998532e+18
153,smartphone,101.46799999999999,pressure,1.52812862799853e+18
154,smartphone,101.4673,pressure,1.52812862799853e+18
155,smartphone,101.4658,pressure,1.528128629998527e+18
156,smartphone,101.4658,pressure,1.528128629998527e+18
157,smartphone,101.4658,pressure,1.528128631998525e+18
158,smartphone,101.4663,pressure,1.528128631998525e+18
159,smartphone,101.4663,pressure,1.528128633998522e+18
160,smartphone,101.4661,pressure,1.528128633998522e+18
161,smartphone,101.4649,pressure,1.528128635998519e+18
162,smartphone,101.464,pressure,1.528128635998519e+18
163,smartphone,101.4614,pressure,1.528128637998518e+18
164,smartphone,101.4608,pressure,1.528128637998518e+18
165,smartphone,101.4605,pressure,1.5281286399985142e+18
166,smartphone,101.46,pressure,1.5281286399985142e+18
167,smartphone,101.4594,pressure,1.528128641998513e+18
168,smartphone,101.4592,pressure,1.528128641998513e+18
169,smartphone,101.4577,pressure,1.5281286439985098e+18
170,smartphone,101.4574,pressure,1.5281286439985098e+18
171,smartphone,101.4555,pressure,1.528128645998508e+18
172,smartphone,101.4555,pressure,1.528128645998508e+18
173,smartphone,101.454,pressure,1.528128647998506e+18
174,smartphone,101.4511,pressure,1.528128647998506e+18
175,smartphone,101.4511,pressure,1.528128649998503e+18
176,smartphone,101.4511,pressure,1.528128649998503e+18
177,smartphone,101.4522,pressure,1.528128651998501e+18
178,smartphone,101.4522,pressure,1.528128651998501e+18
179,smartphone,101.4545,pressure,1.528128653998498e+18
180,smartphone,101.4558,pressure,1.528128653998498e+18
181,smartphone,101.463,pressure,1.528128655998496e+18
182,smartphone,101.4654,pressure,1.528128655998496e+18
183,smartphone,101.4711,pressure,1.528128657998494e+18
184,smartphone,101.4716,pressure,1.528128657998494e+18
185,smartphone,101.4716,pressure,1.5281286599984911e+18
186,smartphone,101.4655,pressure,1.5281286599984911e+18
187,smartphone,101.4649,pressure,1.528128661998488e+18
188,smartphone,101.4624,pressure,1.528128661998488e+18
189,smartphone,101.4638,pressure,1.528128663998487e+18
190,smartphone,101.4662,pressure,1.528128663998487e+18
191,smartphone,101.4679,pressure,1.528128665998484e+18
192,smartphone,101.4691,pressure,1.528128665998484e+18
193,smartphone,101.4692,pressure,1.5281286679984812e+18
194,smartphone,101.4692,pressure,1.5281286679984812e+18
195,smartphone,101.4694,pressure,1.5281286699984788e+18
196,smartphone,101.4712,pressure,1.5281286699984788e+18
197,smartphone,101.4712,pressure,1.528128671998476e+18
198,smartphone,101.4701,pressure,1.528128671998476e+18
199,smartphone,101.4692,pressure,1.528128673998475e+18
200,smartphone,101.4692,pressure,1.528128673998475e+18
201,smartphone,101.4694,pressure,1.528128675998472e+18
202,smartphone,101.4694,pressure,1.528128675998472e+18
203,smartphone,101.4689,pressure,1.52812867799847e+18
204,smartphone,101.4681,pressure,1.52812867799847e+18
205,smartphone,101.4671,pressure,1.528128679998467e+18
206,smartphone,101.4661,pressure,1.528128679998467e+18
207,smartphone,101.4643,pressure,1.528128681998465e+18
208,smartphone,101.4635,pressure,1.528128681998465e+18
209,smartphone,101.4638,pressure,1.528128683998462e+18
210,smartphone,101.4639,pressure,1.528128683998462e+18
211,smartphone,101.4643,pressure,1.5281286859984591e+18
212,smartphone,101.4657,pressure,1.5281286859984591e+18
213,smartphone,101.4672,pressure,1.5281286879984579e+18
214,smartphone,101.4684,pressure,1.5281286879984579e+18
215,smartphone,101.4698,pressure,1.528128689998455e+18
216,smartphone,101.4698,pressure,1.528128689998455e+18
217,smartphone,101.4683,pressure,1.528128691998452e+18
218,smartphone,101.4668,pressure,1.528128692998452e+18
219,smartphone,101.4645,pressure,1.528128692998452e+18
220,smartphone,101.4627,pressure,1.52812869499845e+18
221,smartphone,101.4627,pressure,1.52812869499845e+18
222,smartphone,101.4627,pressure,1.528128696998446e+18
223,smartphone,101.4646,pressure,1.528128696998446e+18
224,smartphone,101.4673,pressure,1.528128698998445e+18
225,smartphone,101.4691,pressure,1.528128698998445e+18
226,smartphone,101.4691,pressure,1.528128700998441e+18
227,smartphone,101.4654,pressure,1.528128700998441e+18
228,smartphone,101.4635,pressure,1.52812870299844e+18
229,smartphone,101.4634,pressure,1.52812870299844e+18
230,smartphone,101.4622,pressure,1.5281287049984369e+18
231,smartphone,101.4622,pressure,1.5281287049984369e+18
232,smartphone,101.4624,pressure,1.528128706998434e+18
233,smartphone,101.4624,pressure,1.528128706998434e+18
234,smartphone,101.4624,pressure,1.528128708998432e+18
235,smartphone,101.4634,pressure,1.528128708998432e+18
236,smartphone,101.464,pressure,1.52812871099843e+18
237,smartphone,101.4651,pressure,1.52812871099843e+18
238,smartphone,101.4659,pressure,1.528128712998428e+18
239,smartphone,101.4681,pressure,1.528128712998428e+18
240,smartphone,101.4689,pressure,1.528128714998425e+18
241,smartphone,101.4695,pressure,1.528128714998425e+18
242,smartphone,101.4709,pressure,1.528128714998425e+18
243,smartphone,101.471,pressure,1.528128716998423e+18
244,smartphone,101.4715,pressure,1.528128716998423e+18
245,smartphone,101.4715,pressure,1.5281287189984212e+18
246,smartphone,101.471,pressure,1.5281287189984212e+18
247,smartphone,101.4693,pressure,1.528128720998418e+18
248,smartphone,101.4688,pressure,1.528128720998418e+18
249,smartphone,101.4676,pressure,1.528128722998415e+18
250,smartphone,101.4657,pressure,1.528128722998415e+18
251,smartphone,101.4638,pressure,1.528128724998413e+18
252,smartphone,101.4633,pressure,1.528128724998413e+18
253,smartphone,101.4633,pressure,1.52812872699841e+18
254,smartphone,101.4626,pressure,1.52812872699841e+18
255,smartphone,101.4606,pressure,1.5281287289984082e+18
256,smartphone,101.4589,pressure,1.5281287289984082e+18
257,smartphone,101.4576,pressure,1.5281287309984049e+18
258,smartphone,101.4541,pressure,1.528128731999405e+18
259,smartphone,101.4525,pressure,1.528128731999405e+18
260,smartphone,101.4525,pressure,1.528128733999402e+18
261,smartphone,101.4517,pressure,1.528128733999402e+18
